Date,Open,High,Low,Close,Volume,Company,Country,Ticker
2015-07-13,973.5,979.61,966.31,969.66,373247,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-14,973.02,977.01,963.83,968.06,155195,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-15,969.12,981.09,964.49,968.82,213656,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-16,973.44,979.13,968.15,975.19,191867,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-17,975.32,1021.33,975.32,1011.66,747746,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-20,1021.64,1021.94,1005.19,1009.06,310370,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-21,1009.84,1010.45,980.21,988.86,201006,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-22,988.86,1000.8,970.96,995.85,147576,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-23,995.97,1003.62,968.12,974.23,176267,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-24,971.75,974.77,937.89,942.78,214470,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-27,945.14,964.43,932.87,950.07,297822,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-28,958.14,963.28,943.87,948.77,158831,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-29,951.73,969.93,946.35,962.53,215601,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-30,968.12,975.38,925.31,936.74,294755,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-31,940.3,954.82,926.82,945.69,276063,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-03,946.41,964.13,933.32,938.19,255150,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-04,942.96,997.39,935.86,985.05,788204,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-05,997.66,1018.31,993.61,1004.73,433805,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-06,1004.1,1015.89,997.75,1005.49,184913,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-07,1008.45,1012.87,988.77,1003.56,168489,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-10,1007.43,1009.84,991.1,995.06,230972,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-11,1000.65,1038.05,995.94,1034.33,553356,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-12,1037.06,1040.08,949.98,1008.42,412542,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-13,1015.98,1034.85,997.75,1018.4,556893,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-14,1027.08,1027.92,995.63,1000.38,372287,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-17,1009.18,1010.27,991.43,1004.13,333041,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-18,1007.43,1018.76,992.13,996.48,151121,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-19,1000.77,1024.36,980.27,1012.26,293810,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-20,1014.05,1025.87,983.24,989.95,331818,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-21,988.68,997.45,955.51,989.83,305588,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-24,958.44,970.48,841.38,875.9,535338,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-25,865.47,904.66,767.97,867.92,634850,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-26,864.72,895.65,832.58,871.61,299550,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-27,897.37,907.05,852.62,866.11,463263,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-28,882.25,889.99,852.68,864.17,324192,Ajanta Pharma,India,AJANTPHARM.NS
2015-08-31,874.85,915.51,867.74,906.92,571175,Ajanta Pharma,India,AJANTPHARM.NS
2015-09-01,903.39,934.26,878.11,921.2,532416,Ajanta Pharma,India,AJANTPHARM.NS
2015-09-02,931.23,937.89,909.65,916.42,220982,Ajanta Pharma,India,AJANTPHARM.NS
2015-09-03,919.74,927.61,901.0,907.92,183147,Ajanta Pharma,India,AJANTPHARM.NS
2015-09-04,910.07,910.07,860.18,868.68,393993,Ajanta Pharma,India,AJANTPHARM.NS
2015-09-07,861.09,864.75,816.34,830.91,480500,Ajanta Pharma,India,AJANTPHARM.NS
2015-09-08,829.07,845.06,795.57,832.88,405216,Ajanta Pharma,India,AJANTPHARM.NS
2015-09-09,843.55,864.72,840.62,847.39,263904,Ajanta Pharma,India,AJANTPHARM.NS
2015-09-10,840.53,869.13,815.46,854.47,302274,Ajanta Pharma,India,AJANTPHARM.NS
