Date,Open,High,Low,Close,Volume,Company,Country,Ticker
2015-01-02,61.75,68.25,61.7,67.28,15719811,Marksans Pharma,India,MARKSANS.NS
2015-01-05,67.52,69.99,65.48,66.21,9056886,Marksans Pharma,India,MARKSANS.NS
2015-01-06,65.39,65.39,62.38,62.87,3941417,Marksans Pharma,India,MARKSANS.NS
2015-01-07,63.01,65.05,61.36,62.77,3650538,Marksans Pharma,India,MARKSANS.NS
2015-01-08,63.84,66.31,63.79,65.05,3306924,Marksans Pharma,India,MARKSANS.NS
2015-01-09,65.92,67.37,65.14,65.82,3938982,Marksans Pharma,India,MARKSANS.NS
2015-01-12,65.73,66.4,64.08,64.76,1534340,Marksans Pharma,India,MARKSANS.NS
2015-01-13,65.24,65.48,62.87,63.64,2011107,Marksans Pharma,India,MARKSANS.NS
2015-01-14,63.3,64.18,62.14,62.43,1413554,Marksans Pharma,India,MARKSANS.NS
2015-01-15,63.3,63.69,60.64,60.98,2162088,Marksans Pharma,India,MARKSANS.NS
2015-01-16,61.65,62.77,60.59,61.02,2474993,Marksans Pharma,India,MARKSANS.NS
2015-01-19,61.56,63.21,60.59,60.78,2364826,Marksans Pharma,India,MARKSANS.NS
2015-01-20,61.12,62.82,61.07,61.95,2535658,Marksans Pharma,India,MARKSANS.NS
2015-01-21,62.48,62.53,57.15,58.46,3745953,Marksans Pharma,India,MARKSANS.NS
2015-01-22,58.65,59.86,56.86,57.34,2754973,Marksans Pharma,India,MARKSANS.NS
2015-01-23,58.12,60.1,57.83,58.31,2053616,Marksans Pharma,India,MARKSANS.NS
2015-01-27,58.75,59.04,56.23,57.1,1780018,Marksans Pharma,India,MARKSANS.NS
2015-01-28,56.9,58.41,56.52,57.1,2011827,Marksans Pharma,India,MARKSANS.NS
2015-01-29,57.49,61.7,56.47,60.35,4582275,Marksans Pharma,India,MARKSANS.NS
2015-01-30,60.93,61.7,59.23,60.39,2672811,Marksans Pharma,India,MARKSANS.NS
2015-02-02,60.44,62.48,59.86,61.17,2404828,Marksans Pharma,India,MARKSANS.NS
2015-02-03,61.46,62.53,60.59,61.02,2069629,Marksans Pharma,India,MARKSANS.NS
2015-02-04,61.36,62.91,60.88,61.61,2949065,Marksans Pharma,India,MARKSANS.NS
2015-02-05,61.95,62.28,57.1,57.58,2429541,Marksans Pharma,India,MARKSANS.NS
2015-02-06,57.2,58.89,54.43,55.26,2310350,Marksans Pharma,India,MARKSANS.NS
2015-02-09,58.16,59.47,56.71,57.15,3841598,Marksans Pharma,India,MARKSANS.NS
2015-02-10,57.15,58.41,54.97,56.13,2378219,Marksans Pharma,India,MARKSANS.NS
2015-02-11,56.13,57.44,55.5,56.76,1471481,Marksans Pharma,India,MARKSANS.NS
2015-02-12,57.1,59.28,56.66,57.78,2356476,Marksans Pharma,India,MARKSANS.NS
2015-02-13,58.26,65.63,57.78,63.25,12788105,Marksans Pharma,India,MARKSANS.NS
2015-02-16,63.55,64.42,61.56,62.09,3554486,Marksans Pharma,India,MARKSANS.NS
2015-02-18,62.28,64.95,61.22,64.13,3459870,Marksans Pharma,India,MARKSANS.NS
2015-02-19,64.66,66.11,60.44,62.19,4167257,Marksans Pharma,India,MARKSANS.NS
2015-02-20,62.77,63.88,61.17,61.8,2751730,Marksans Pharma,India,MARKSANS.NS
2015-02-23,62.04,62.53,57.58,58.46,2711147,Marksans Pharma,India,MARKSANS.NS
2015-02-24,58.84,59.81,57.58,58.5,1787031,Marksans Pharma,India,MARKSANS.NS
2015-02-25,58.89,59.91,57.0,57.44,2758392,Marksans Pharma,India,MARKSANS.NS
2015-02-26,57.92,57.97,55.06,56.03,2983796,Marksans Pharma,India,MARKSANS.NS
2015-02-27,56.23,57.92,56.23,57.39,1741925,Marksans Pharma,India,MARKSANS.NS
2015-02-28,57.83,58.31,55.35,57.0,1923675,Marksans Pharma,India,MARKSANS.NS
2015-03-02,57.15,59.62,57.15,58.84,2487813,Marksans Pharma,India,MARKSANS.NS
