S&P Capital IQ - Standard,2014 FQ1,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ4,2021 FQ1,2021 FQ4,2022 FQ1,2022 FQ4,2023 FQ1,2023 FQ4,2024 FQ1,2024 FQ4,2025 FQ1,2025 FQ4,2026 FQ1
Period Ended,2014-03-31 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute
Spot Exchange Rate,9.638399176,10.08552578,10.192679781,10.083877732,10.315724892999999,10.199460916,10.268348233,9.988304620000001,9.781231097,9.41062844,9.817523185,9.80911983,10.373328231999999,10.561370816,10.119662096,10.323171822,9.884359261,10.221445088,10.632561423,11.18549153,11.165048988,11.728678021999999,11.970188804,11.999101084000001,11.954929249000001,11.738876588,11.539173187000001,11.724678385,11.775194653,12.846948988000001,13.594474005
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loss on Impairment of Credit Loss By """" Fill and List)",,,,,,,,,,,,,,,,-120150341.29193921,-207821760.90738946,-451671349.3355269,133648245.11667916,-119158459.2879657,-162571381.65395856,265749230.03171253,-66026060.022082314,,,-275598993.2138861,,,,,
Asset Impairment Losses (loss Is Indicated with -),,,,,,,,,,,,,,,,,,,,,,,,783539919.2087013,,,,,,,
Loss on Credit Impairment (Loss Is Indicated with -),,,,,,,,,,,,,,,,,,,,,,,,114299539.97812496,-234843327.2592805,,,-839977046.6872158,23373458.05719074,-76604734.75966479,107140647.94522157
Loss on Impairment of Assets (Loss Is Indicated with -),,,,,,,,,,,,,,,,,,,,,,,,-1512331014.5807903,-212769646.18981698,,,2189794798.267879,-388901486.7633904,2085145063.8560812,-652672853.8792956
"Asset Impairment Loss (loss Is Indicated with ""-"")",,,,,,,,,,,,,,,,,,,,,,,,,,-3351703587.226614,,-2567942350.1791954,,-2738606801.9422393,
"Credit Impairment Losses (losses are Listed with ""-"")",,,,,,,,,,,,,,,,,,,,,,,,506401398.0782073,,,,,,,
"Credit Impairment Losses (fill Loss with ""-"")",,,,,,,,,,,,,,,,,,,,,,,,,,,-25377610.636690553,,,,
"Credit Impairment Losses (losses are Marked with ""-""",,,,,,,,,,,,,,,,,,,,,,,,,,262560213.7703566,,,,,
"Asset Impairment Losses (losses are Marked with ""-"")",,,,,,,,,,,,,,,,,,,,,,,,,,982318523.6472847,,,,,
"Investment Income (loss Indicated with ""-"" Sign)",13576218.339254426,59584469.27979656,333144561.78755087,100772309.03657442,143663270.7687872,565138239.62769,136870791.96649638,78045169.83149272,-45123108.93447312,100046278.43538621,55604613.47949977,193901676.97123232,73405517.51840682,65626911.44843592,101104830.8685481,59969166.8980361,15686064715.891376,9397098205.71662,-13687264.42214363,-103497958.85557078,68070698.20400415,-680672646.404165,-87221082.24940197,,,,1414941171.7836308,,,,
Investment Gain (loss Is Indicated with “-“),,,,,,,,,,,,,,,,,,,,,,,,,90979879.93106471,,,-276679695.1975776,-174964503.28094906,-27789427.032421704,2382155205.6828656
"Investment Income (losses are Listed with ""-"")",,,,,,,,,,,,,,,,,,,,,,,,568083594.3392931,,,,,,,
"Investment Income (losses are Marked with ""-""",,,,,,,,,,,,,,,,,,,,,,,,,,-67763340.08963381,,,,,
Gain/loss from Sale of Investments,,,2298449.2906155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain/loss from Changes in Fair Value,,,,,,,,,,,,,,,-1035241.4324208001,,,,2851652.9736486003,7124982.827957724,16235097.7334508,-222618011.66685092,7451442.53049,,,,,,,,
Gain on Changes in Fair Value (loss Is Indicated By “-“),,,,,,,,,,,,-3040827.1473,,,,,,-7737625.958888831,,,,,,,,,,,,,
Gain on Changes in Fair Value (loss Is Indicated with “-“),,,,,,,,,,,,,,,,,,,,,,,,,18494963.91302916,,-251655.86637584126,-19919942.142222058,-30204452.539519373,20401034.64402773,-5151246.910259491
"Gains from Changes in Fair Value (losses are Marked with ""-"")",,,,,,,,,,,,,,,,,,,,,,,,,,-13151859.689535365,,,,,
"Gains on Changes in Fair Value (fill Loss with ""-"")",,,,,,,,,,,,,,,,,,,,,,,,-841172554.2037972,,,,,,,
Non-operating Expenses,-18143826.7935633,-35218713.71296746,-118510604.60217461,-47317538.0552808,-21997363.584291037,-123303644.29072066,-27968718.16152582,-91572700.74516186,24061739.391604707,-15523066.030534439,-5816546.924170037,-42777495.95031611,-8872374.026130283,55301468.137910716,-177861373.62764564,-39891016.20563176,-45682943.611957364,-83504549.98965016,-35923933.95309938,-82992862.64827858,-25727635.446155716,-793105325.0967647,-9477567.680459345,6637809.486653377,-1988427.5171984232,-1464992919.83846,-29485942.507389124,-40909462.442270115,-15454203.14658245,-378166942.6731505,-21007922.276811823
Financial Expenses,-249564300.36654878,-553317593.1948321,-697779781.2182884,-324551799.3587308,-394070434.6305476,-779791772.7582251,-537111621.2956752,-425704594.6311106,-1108472717.311922,-673416071.3926867,-617743570.2167919,-1065254191.8041724,-903831260.3955334,-754643660.9233931,-1847384060.091699,-1094747580.9356647,-1414710582.774553,-1363870705.405755,-1165495974.9218419,-1052822726.9255219,-1019805293.116909,-771516684.0747286,-890851441.9820265,-804685130.7492888,-668206741.50248,-504002833.7275585,-437878194.73123634,-322948806.63994294,-227185942.18689165,-294583346.7108464,-207052431.61938962
Non-operating Income/expense,,,,,,,,,,,,,,,,,,,,,,,,,,-11302535.384509321,,,,,
Non-operating Income,146492624.4721121,758542978.1688298,746501052.931046,36552675.89228338,1113067571.6440797,459036234.5286766,85570526.8163626,1298042361.2667801,227358464.49122316,85433.5433359804,8471442.679279882,1016026992.5932028,44300272.06281041,15046192.931107255,-7195648.374069174,13785003.928722613,12679237.457396096,-2589126.180416994,424370.938213731,94986909.96127513,905894.7836227001,44180884.028081216,35911336.573947646,43459332.31201446,600169.3679608948,20206106.08444765,3039447.4115639636,13269312.13726451,2663905.2301468533,9826500.113572033,6461362.003766446
Gain/loss on Sales of Assets,,,,,,,,,,,,,,,,,,,,,,,,,,39240103.41945344,,,,,
