S&P Capital IQ - Standard,2014 FQ2,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-09-30 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Short-term Borrowings,3837800,,,55.3,3427400,,,57,,,,,53500,,,,,,60.9,,63.8,,,,,
Borrowings,884200,,,3884.6,871800,,,4063,,,,,8315000,,,,,,5917.1,,5929,,,,,
Other Liabilities,,,,3222.7,,,,3444.3,,,,,18420300,,,,,,23598.1,,22142.8,,,,,
Other Current Liabilities,,,,124.5,,,,2207.2,,,,,3470400,,,,,,8558.4,,10269.8,,,,,
Total Current Liabilities,32900,,,1282.7,495900,,,1989.2,,,,,2350600,,,,,,3509.7,,9529,,,,,
Unsecured Loans,,,,386,,,,751.7,,,,,1234000,,,,,,1348.6,,2771.7,,,,,
Borrowings,,,,439.4,,,,579.8,,,,,1739100,,,,,,3217.5,,2893.7,,,,,
Total Assets,82900700,94898.2,114883600,128124.1,148327300,159202,157805900,162494.2,199776900,211010.4,241698500,264543.6,272893600,289277.4,304875500,338539.9,340162500,339217.2,371668.9,398899.9,439235.9,450715.1,480944.5,497849.7,525456,585021.5
Deferred Tax Liabilities,82900700,,,128124.1,148327300,,,162494.2,,,,,272893600,,,,,,371668.9,,439235.9,,,,,
Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables,13794300,13512,31259400,20391.7,24946200,24570.3,24561200,21547,29049700,,24611300,,,,,,,,,,,,,,,
b) Total outstanding dues of creditors other               than micro enterprises & small enterprises,,,,,,,,,,,,,,,,,,,,,,43750.1,,41026.2,,
Trade Payables Total Outstanding Dues of Micro Enterprises and Small Enterprises,,,,,,,,,,308.3,,336.1,568000,427.8,650100,176.9,275600,384.7,490.9,622.7,802.3,791.5,832.5,862.3,1279.2,1918.8
Trade Payables - Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,23420.7,,25185.7,25589400,25332.8,32000100,27769.9,22883000,26645.8,34661.1,38090.4,44251.6,,43498.8,,46226.8,53753.9
Short-term Borrowings,,,17242400,,,,34701400,,47519900,,52681400,,,,49642700,,41432500,,,,,,,,,
Borrowings,23114800,23545.6,17242400,24970.9,29829800,36726.8,34701400,29027.2,47519900,40313.4,52681400,65732.1,56282600,54223,49642700,48037.8,41432500,21235.6,37310.9,42425.6,45370.5,41803.2,61428.8,63800.3,64403.6,68734.5
Lease Liabilities,,,,,,,,,,,,,1186500,,,1006.2,1030700,1598.9,1588.3,1031.6,816.1,798.8,934.3,819.8,718.2,1037
"Current Tax Liabilities, Net",,,,1445.1,,820.1,,264.6,1573600,969.5,635300,662.7,865600,950.8,1318800,2103.5,1347200,580.3,601,2116,3480.6,2490.1,3636.3,2849.3,4062.1,2106
Current Liabilities,23114800,,,,29829800,,,,,,,,,,,,,,37310.9,,45370.5,,,,,
Other Liabilities,,3876.8,,479.7,,825.5,,8174.4,,4629,,6915.1,,6358.7,,5561.9,,11662.4,,11432.5,,8773.8,,5468.3,,
Other Current Liabilities,2019500,,2399300,,15991700,,6007100,,1453400,,8272400,,7370300,,7386800,,6901700,,11383.4,,10805.4,,6691.9,,6232.6,6263
Provisions,1132500,1266,1469500,384.9,2189000,509.2,1322500,2349,697400,1972.8,1768400,3184,2726400,4166.4,3521800,1719.3,1765600,1705.6,2141.1,2005.3,1691.2,2567.9,3045.8,2755.6,3398.8,3530.4
Other Financial Liabilities,2019500,,,13142.1,15991700,14950.3,1585100,4693.8,11180200,15045.2,18044400,18190,18630400,22386.9,17916200,20275,16427400,17746.5,16318.9,17213.7,22902,21015.9,23337.4,29241.6,28686.2,43046.5
"Deferred Tax Liability, Net",13794300,,,20391.7,24946200,,,21547,,,,,,,,,,,,,,,,,,
Long-term Provisions,,,,,,,,,,,,,568000,,,,,,490.9,,802.3,,,,,
Other Financial Liabilities,,,,,,,,,,,,,25589400,,,,,,34661.1,,44251.6,,,,,
Common Stock - Par Value,,,,24970.9,,,,29027.2,,,,,,,,,,,,,,,,,,
Reserves & Surplus,23114800,,,,29829800,,,,,,,,56282600,,,,,,37310.9,,45370.5,,,,,
Subscribed Share Capital - Common,,,,,,,,,,,,,1186500,,,,,,1588.3,,816.1,,,,,
Total Shareholders Equity,,,,1445.1,,,,264.6,,,,,865600,,,,,,601,,3480.6,,,,,
Total Current Liabilities,40061100,42200.4,52370600,60814.4,72956700,78402.2,68177300,66056,91474200,86658.9,106013200,120205.7,113219200,113846.4,112436500,106650.5,92063700,81559.8,104495.6,114937.8,130119.7,121991.3,143405.8,146823.4,155007.5,180390.1
Borrowings,40061100,,,,72956700,,,,,,,,,,,,,,,,,,,,,
Noncurrent Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,11943500,12793.6,14079000,,12367800,7428.1,4628000,,567000,4512,2764200,1799.5,241600,,214900,1684.9,2464100,2492.1,2895.9,6189.6,17082.8,,19479.9,,10385.2,8027.5
Financial Liabilities (i) Borrowings,,12793.6,,13111.2,,7428.1,,1814,,4512,,1799.5,,,,1684.9,,2492.1,,6189.6,,21349,,15616.5,,
Lease Liabilities,11943500,,,,12367800,,,,,,,,3057500,,2254800,2661.9,2734700,3186.1,2895.9,3215.3,17082.8,2525.3,2429.5,2392.1,2438,2929.4
Deferred Tax Liabilities,1268600,,2063400,,2040900,,197200,,596100,,2559400,,3426400,,4921900,,5930500,,3815,,4307.9,,3706.9,,3002.5,3060
"Deferred Tax Liability, Net",,2054.2,,1.9,,239.6,,493,,2352.8,,2813.1,,2916.9,,5745.6,,4109.6,,3896.1,,3565.6,,3032.7,,
Minority Interest,232900,256.7,242200,98.2,249300,25.5,26400,20.8,17200,18.2,17600,15.9,11100,1.4,-3500,-8.8,-11700,-19.3,126,120,3216.9,80,65.7,-63.9,-72.6,-81.6
Equity Share Warrants,1268600,,,,2040900,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,2644.1,,,665300,113.5,,,,,,,,
Other Non-current Liabilities,232900,,,,249300,,,,,105.7,,336.2,435100,874.8,909700,395,285300,297.7,126,290.4,270.9,364.7,456.1,545.4,542.9,5363.6
Long-term Provisions,98700,91.8,152400,241.6,254400,233.6,279100,391.3,344300,558.6,606400,465.4,570800,747.1,723500,1571.1,1849500,1717.9,1445.4,1727.2,2120,2257,2473.7,2829.3,3723.7,4004.1
Other Financial Liabilities,,,,,,,,,,,,,,,,541,665300,,107.4,125,172.6,154.2,143,141,17.6,2418.7
Reserves & Surplus,98700,,,,254400,,,,,,,,,,,,,,,,,,,,,
Shareholders' Equity,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,291200,291.5,291500,292,584000,585.2,585200,585.9,585900,585.9,585900,585.9,585900,585.9,585900,585.9,585900,585.9,585.9,585.9,585.9,585.9,580.8,580.8,580.8,580.8
Reserves & Surplus,29004700,37210,45683100,,59874200,,,,,,,,,,,,,,,,,,,,,
Other Equity,,,,53564.8,,72287.8,83912700,93133.2,106192200,116218.3,129151800,138321.9,151346000,167660.8,182831800,218712.8,233595200,245173.9,254694.7,267812.6,281302.1,297842.1,308203.1,325952.4,349830.4,378328.9
Subscribed Share Capital - Common,291200,,1400,,584000,,,,,,,,,,,,,,585.9,,585.9,,,,,
Total Liabilities & Shareholders Equity,,,,,,,,,,,,,,,,,,,254694.7,,281302.1,,,,,
Total Shareholders Equity,29295900,37501.5,45974600,53856.8,60458200,72873,84497900,93719.1,106778100,116804.2,129737700,138907.8,151931900,168246.7,183417700,219298.7,234181100,245759.8,255280.6,268398.5,281888,298428,308783.9,326533.2,350411.2,378909.7
Total Liabilities & Shareholders Equity,82900700,94898.2,114883600,128124.1,148327300,159202,157805900,162494.2,199776900,211010.4,241698500,264543.6,272893600,289277.4,304875500,338539.9,340162500,339217.2,371668.9,398899.9,439235.9,450715.1,480944.5,497849.7,525456,585021.5
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,
